"","match_id","player","pts","ptsWon","aces","ptsWonLte3Shots","wide","body","t","snvPts","snvPtsWon","nonSnvPts","nonSnvPtsWon"
"2495","19950929-M-Basel-QF-Stefan_Edberg-Boris_Becker",1,72,51,5,41,16,27,29,63,44,8,7
"2496","19950929-M-Basel-QF-Stefan_Edberg-Boris_Becker",2,87,59,9,37,33,17,37,59,41,23,18
"2497","19900805-M-Los_Angeles-F-Michael_Chang-Stefan_Edberg",1,75,50,0,21,51,11,13,2,1,72,49
"2498","19900805-M-Los_Angeles-F-Michael_Chang-Stefan_Edberg",2,81,51,2,17,33,28,20,41,25,37,26
"2499","19900127-M-Australian_Open-SF-Mats_Wilander-Stefan_Edberg",1,69,32,3,13,9,30,30,6,5,63,27
"2500","19900127-M-Australian_Open-SF-Mats_Wilander-Stefan_Edberg",2,57,45,0,32,17,28,12,55,45,0,0
"2501","19921031-M-Stockholm_Masters-SF-Stefan_Edberg-Goran_Ivanisevic",1,79,54,4,36,32,22,25,66,47,10,7
"2502","19921031-M-Stockholm_Masters-SF-Stefan_Edberg-Goran_Ivanisevic",2,66,52,13,40,27,12,27,47,38,14,14
"2503","19940424-M-Monte_Carlo_Masters-F-Sergi_Bruguera-Andrei_Medvedev",1,87,43,0,15,33,17,37,1,0,82,43
"2504","19940424-M-Monte_Carlo_Masters-F-Sergi_Bruguera-Andrei_Medvedev",2,80,51,0,12,62,4,14,0,0,0,0
"2505","19930424-M-Monte_Carlo_Masters-SF-Cedric_Pioline-Stefan_Edberg",1,50,35,0,9,16,19,15,4,3,44,32
"2506","19930424-M-Monte_Carlo_Masters-SF-Cedric_Pioline-Stefan_Edberg",2,66,34,1,15,19,34,13,35,18,28,16
"2507","20180619-M-Halle-R32-Roger_Federer-Aljaz_Bedene",1,49,41,7,30,22,5,22,5,5,44,36
"2508","20180619-M-Halle-R32-Roger_Federer-Aljaz_Bedene",2,70,41,6,24,32,13,25,5,3,64,38
"2509","20180622-M-Halle-QF-Matthew_Ebden-Roger_Federer",1,81,48,8,27,27,25,29,55,35,22,13
"2510","20180622-M-Halle-QF-Matthew_Ebden-Roger_Federer",2,65,49,6,33,31,10,24,8,6,57,43
