"","match_id","date","player1","player2","tournament","court","surface"
"1638","20160108-M-Doha-SF-Rafael_Nadal-Illya_Marchenko",2016-01-08,"Rafael Nadal","Illya Marchenko","Doha","","Hard"
"1639","20160108-M-Brisbane-QF-Roger_Federer-Grigor_Dimitrov",2016-01-08,"Roger Federer","Grigor Dimitrov","Brisbane","","Hard"
"1640","20160108-M-Brisbane-QF-Lucas_Pouille-Milos_Raonic",2016-01-08,"Lucas Pouille","Milos Raonic","Brisbane","Pat Rafter Arena","Hard"
"1641","20160106-M-Doha-R16-Rafael_Nadal-Robin_Haase",2016-01-06,"Rafael Nadal","Robin Haase","Doha","","Hard"
"1642","20160104-M-Hopman_Cup-RR-Jack_Sock-Alexandr_Dolgopolov",2016-01-04,"Jack Sock","Alexandr Dolgopolov","Hopman Cup","","Hard"
"1643","20160104-M-Doha-R32-Novak_Djokovic-Dustin_Brown",2016-01-04,"Novak Djokovic","Dustin Brown","Doha","","Hard"
"1644","20160104-M-Bangkok_CH-R32-Nattan_Benjasupawan-Konstantin_Kravchuk",2016-01-04,"Nattan Benjasupawan","Konstantin Kravchuk","Bangkok CH","","Hard"
"1645","20151123-M-Toyota_CH-R32-Sho_Katayama-Gavin_Van_Peperzeel",2015-11-23,"Sho Katayama","Gavin Van Peperzeel","Toyota CH","","Hard"
"1646","20151123-M-Toyota_CH-R32-Makoto_Ochi-Konstantin_Kravchuk",2015-11-23,"Makoto Ochi","Konstantin Kravchuk","Toyota CH","","Hard"
"1647","20151123-M-Andria_CH-R32-Adrien_Bossel-Dudi_Sela",2015-11-23,"Adrien Bossel","Dudi Sela","Andria CH","","Hard"
"1648","20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic",2015-11-22,"Roger Federer","Novak Djokovic","Tour Finals","","Hard"
"1649","20151121-M-Tour_Finals-SF-Roger_Federer-Stan_Wawrinka",2015-11-21,"Roger Federer","Stan Wawrinka","Tour Finals","Centre","Hard"
"1650","20151121-M-Tour_Finals-SF-Novak_Djokovic-Rafael_Nadal",2015-11-21,"Novak Djokovic","Rafael Nadal","Tour Finals","","Hard"
"1651","20151119-M-Tour_Finals-RR-Roger_Federer-Kei_Nishikori",2015-11-19,"Roger Federer","Kei Nishikori","Tour Finals","Centre","Hard"
"1652","20151119-M-Tour_Finals-RR-Novak_Djokovic-Tomas_Berdych",2015-11-19,"Novak Djokovic","Tomas Berdych","Tour Finals","","Hard"
"1653","20151118-M-Tour_Finals-RR-Rafael_Nadal-Andy_Murray",2015-11-18,"Rafael Nadal","Andy Murray","Tour Finals","","Hard"
"1654","20151118-M-Tour_Finals-RR-David_Ferrer-Stan_Wawrinka",2015-11-18,"David Ferrer","Stan Wawrinka","Tour Finals","","Hard"
"1655","20151117-M-Tour_Finals-RR-Roger_Federer-Novak_Djokovic",2015-11-17,"Roger Federer","Novak Djokovic","Tour Finals","Centre","Hard"
"1656","20151116-M-Tour_Finals-RR-Rafael_Nadal-Stan_Wawrinka",2015-11-16,"Rafael Nadal","Stan Wawrinka","Tour Finals","","Hard"
"1657","20151116-M-Tour_Finals-RR-Andy_Murray-David_Ferrer",2015-11-16,"Andy Murray","David Ferrer","Tour Finals","","Hard"
"1658","20151116-M-Montevideo_CH-R32-Dario_Acosta-Carlos_Berlocq",2015-11-16,"Dario Acosta","Carlos Berlocq","Montevideo CH","","Clay"
"1659","20151116-M-Brescia_CH-QF-Igor_Sijsling-Farrukh_Dustov",2015-11-16,"Igor Sijsling","Farrukh Dustov","Brescia CH","","Hard"
"1660","20151115-M-Tour_Finals-RR-Tomas_Berdych-Roger_Federer",2015-11-15,"Tomas Berdych","Roger Federer","Tour Finals","Centre","Hard"
"1661","20151115-M-Tour_Finals-RR-Novak_Djokovic-Kei_Nishikori",2015-11-15,"Novak Djokovic","Kei Nishikori","Tour Finals","Centre","Hard"
"1662","20151109-M-Mouilleron_Le_Captif_CH-QF-Lucas_Pouille-Sergiy_Stakhovsky",2015-11-09,"Lucas Pouille","Sergiy Stakhovsky","Mouilleron Le Captif CH","","Hard"
